Название текста,Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
ЕС12-А4-3129,eng,FL,IL,,{{Когда }} мы  маленькие*@*  мы  играем  с  друзьями.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
ЕС12-А4-3129,eng,FL,IL,,{{Когда }} мы  в  школе*@*  мы  учимся*@*  играем  спорт*@*  и  рассказываем  о  музыке*@*  фыльме*@*  и  тд.  с  друзьями.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
ЕС12-А4-3129,eng,FL,IL,,Мы  изменемся  много  {{когда }} мы  маленькие  и  друзья  изменятся  тоже.,когда,время,гп,мест,мест,и,и,1мн,мест мест,other
ЕС12-А4-3129,eng,FL,IL,,{{Когда }} мы  старше*@*  в  университете  мы  с  друзьями  больше  время  чем  с  семьей.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
EC12-A4-1892,eng,FL,IL,,Я  думал  я  понимал*@*  что  значит  дружба*@*  {{когда }} я  был  молоде*@*  но  я  узнал  так  много  о  дружбе*@*  {{когда }} я  жил  в  России.,когда,время,г_п,мест,мест,и,и,1ед,мест мест,other
A3-5185,eng,FL,IL,,Мы  немного  разговаривали*@*  {{когда }} мы  были  в  университете*@*  и  мы  познакомились  с  новыми  друзями.,когда,время,гп,мест,мест,и,и,1мн,мест мест,other
EC12-A4-2371,eng,FL,IL,,Но  {{когда }} я  смотрела  как  умная  она  была*@*  я  решила  изучаться  с  ней.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
EC12-A4-2371,eng,FL,IL,,{{Когда }} я  была  готова*@*  я  все  говорила  с  подругой  и  она  слышала.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
О здоровье,eng,FL,IH,,{{Когда }} я  прочитала  название  статьи*@*  я  подумала*@* « Боже  мой!,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
О здоровье,eng,FL,IH,,Я  знаю*@*  что  {{когда }} я  кончила  физические  упражнения*@*  я  чувствую  лучше.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Эссе о социальных сетях,eng,FL,IH,,Я  обычно  чувствую  так*@*  {{когда }} я  не  знаю  никого.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
Об иммиграции,eng,FL,IH,,{{Когда }} мы  думаем  об  иммиграции  в  США*@*  можно  помним  работников  в  гостиницах*@*  строителей*@*  или  няней  из  нашего  детства.,когда,время,пг,null,мест,null,и,1мн,null мест,null
Маленькое письмо,swe,FL,IL,,Иногда*@*  {{когда }} я  говарю  по- русский  и  не  знаю   какое  слово  употреблять*@*  я  меняю  языки  и  говорю  что-то   по- француски!,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Мой дневник,swe,FL,IM,,{{Когда }} я  съел  большой  завтрак*@*  состоящий  из  какао*@*  сок*@*  кашу*@*  бутерброд*@*  и  яйцо*@*  я  думал*@*  что  мне  надо  поехать  на  работу.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Моя  квартира,swe,FL,IM,,Я  часто  засыпаю  на  этом  диване*@*  {{когда }} я  смотрю  телевизор.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
Моя подруга,chi,FL,IM,,Я  обещала  им*@*  что  я  обязательно  поеду  к  ним*@*  {{когда }} я  окончу  учебу  в  Москве.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
мой родной город,chi,FL,IM,,{{Когда }} я  окончу  университет*@*  я  хочу  вернуться  сюда *@*  чтобы  дать  мою  родину  лучше.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
мои планы,chi,FL,IM,,Мои  планы  на  будущее      {{Когда }} я  заключу  университет*@*  я  хочу  стать  писателем .,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
мои планы,chi,FL,IM,,{{Когда }} я  поступила  в  университет *@*  я  выбрала  русский  язык  своей  специальностью.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
В музее,kaz,HL,IL,,{{Когда }} я  заходила  в  самую  прекрасную  комнату*@*  я  почувствовало  запах  книг.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Письмо в редакцию о статье “Семь причин заняться фитнесом”,eng,FL,IH,,Вся  своя  жизнь*@*  я  была  очень  активный  человек*@*  но  {{когда }} я  была  в  своей  второй  годе  в  университете  Алабамы*@*  я  постала  ходить  в  спортзал  часто -  может  быть  я  хотела  один  раз  каждую  неделю.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Люди теперь уже не читают – но нам еще ? нужно?,eng,FL,IH,,Опыт*@*  который  мы  получаем  {{когда }} читаем*@*  бесподобный.,когда,время,гп,мест,null,и,null,1мн,мест null,null
Люди теперь уже не читают – но нам еще ? нужно?,eng,FL,IH,,Первый  раз*@*  {{когда }} я  прочитала  Занавес  тортильи *@*  написанную  Т. С.  Бойлом*@*  в  средней  школе*@*  я  узнала  больше  о  незаконной  иммиграции  в  США*@*  чем  в  любом  классе  истории.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Люди теперь уже не читают – но нам еще ? нужно?,eng,FL,IH,,И  первый  раз*@*  {{когда }} я  прочитала  Да  пожалуйста *@*  написанную  Эми  Полер*@*  я  узнала  больше  о  жизни  женщины*@*  чем  в  любом  классе  изучения  женщин.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Мой день,swe,FL,IL,,Патом   я  продолжаю  работать  до  пять  часов*@*  {{когда }} я  еду  на  автобусе  в  университет   или  еду  на  плавание.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
Что*@* по-Вашему*@* делает дом уютным?,kaz,HL,IL,,{{Когда }} я  сама  слышу  слово  дом  мне  сразу  в  голову  приходит  слово- мама!,когда,время,пг,мест,мест,д,и,1ед,мест мест,other
