Название текста,Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
x_FBS_Жизнь в городе,fin,HL,C2,,Но  {{когда }} я  была  по  меньше*@*  я  жила  всегда  все  лета  в  русской  деревне  где  было  очень  мало  людей.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
x_FBS_Жизнь в городе,fin,HL,C2,,После  того  {{когда }} побывал  в  огромных  метрополитенах*@*  понимаешь  что  хотелосьбы  большего.,когда,время,пг,null,null,null,null,2ед,null null,null
О себе,eng,HL,IM,,{{Когда }} я  была  маленькая*@*  я  очень  любила  читать ,,,,,,,,,
О себе,eng,HL,IM,,{{Когда }} я  закончила  магистратуру*@*  я  поехала  в  Москву  и  поступила  в  Российский  Университет  Дружбы  Народов.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Моя подруга,eng,FL,A2,,Ещё  помню*@*  что  {{когда }} я  получила  неизвестную  посылку  и  увидела  её  подпись*@*  я  тронулась  до  слез.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Мой друг,eng,FL,A2,,Иногда  мне  грустно*@* но  {{когда }} я  вижу  улыбку  моего  друга*@*  я  сразу  чувуствую  себя  радостным*@*  и  забываю  всё  плохое.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
О себе,eng,HL,A2,,{{Когда }} успешно  закончу  университет*@*  буду  работать  во  благо  Родины ( Таджикистану  и  России).,когда,время,пг,null,null,null,null,1ед,null null,null
Самая страшная история*@* которая произошла со мной,kaz,HL,IH,,Это  наверное  не  самая  страшная  история*@*  но  мне  тогда  было  страшно*@*  но  и  {{когда }} увидела  папу  и  маму  я  была  очень  счастлива=)  И  наверное  эта  история  самая  счастливая  и  самая  страшная  в  том  числе.,когда,время,пг,мест,null,и,null,1ед,мест null,null
Экспаты во Франции,fr,HL,C2,,Следовательно  экспаты  положительно  оценивают  жизнь  во  Франции  особенно  {{когда }} они  переехали  туда  семьёй.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
Жить в городе или в деревне,fr,HL,C2,,Действительно*@*  в  городе  воздух  не  такой  чистый  по  этой  причине  я  редко  бегаю  {{когда }} я  в  городе  хотя  мне  нравиться  это  физическое  упражнение.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
Моя подруга детства,fr,HL,C2,,{{Когда }} я  вспоминаю  эти  недели  до  её  отезда  мне  кажется*@*  что  они  были  в  то  же  самое  время  самые  весёлые  и  самые  грусные  моей  жизни :  я  знала*@*  что  я  её  очень  долго  не  увижу ( у  меня  небыло  денег  на  поездку  в  США)  и  мои  мысли  всё  время  напоминали  мне  об  этом*@*  но  мы  тоже  очень  веселились  и  проводили  всё  свободное  время  вместе  не  упоминая  о  ближайщей  разлуки.,когда,время,пг,мест,мест,д,и,1ед,мест мест,other
x_FBS_Спорт – это для каждого,fin,HL,B2,,{{Когда }} своими  глазами  видишь  прогресс  и  результаты*@*  осознаешь*@*  что  настойчивость  хорошо  помогает  в  достижении  любых  целей.,когда,время,пг,null,null,null,null,2ед,null null,null
x_FBS_Музыка в моей жизни,fin,HL,B2,,Каждое  утро*@*  {{когда }} куда-то  собираюсь*@*  я  первым  делом  включаю  радио.,когда,время,пг,мест,null,и,null,1ед,мест null,null
x_FBS_Мои русский язык.,fin,HL,B2,,{{Когда }} я  был  маленьким  я  лучше  говорил  по  русски*@*  чем  по  фински  потому*@*  что  мама  тогда  ещё  не  говорила  так  хорошо  по  фински.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
x_FBS_Мои русский язык.,fin,HL,B2,,Я  помню  {{когда }} я  был  маленький*@*  я  удивлялся  в  том*@*  что  мама  мне  говорила  по  русски*@*  а  папа  говорил  мне  по  фински.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
x_FBS_Мои русский язык.,fin,HL,B2,,{{Когда }} мне  был  семь  лет  и  я  начинал  финско- русскую  школу*@*  я  говорил  на  обих  языках  хорошо.,когда,время,пг,мест,мест,и,д,1ед,мест мест,other
x_FBS_Мои русский язык.,fin,HL,B2,,Я  считаю*@*  что  если  человек  станет  учиться  какую-нибудь  языку  уже  с  детство*@*  то  он  научится  говорить  языку  лучше*@*  чем  например*@*  если  он  стал  бы  учится  языку  {{когда }} он  уже  взрослый.,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
x_FBS_Мои русский язык.,fin,HL,B2,,Мне  приятно  {{когда }} я  могу  говорить  с  моими  русскими  родственниками  хорошо  по  русски.,когда,время,гп,мест,мест,д,и,1ед,мест мест,other
x_FBS_Животные в моей жизни,fin,HL,B2,,Я  надеюсь*@*  что  {{когда }} я  хожу  в  пенсию  я  взял  бы  себе  собаку  с  которой  можно  проводить  время.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
x_FBS_Коллекционирование,fin,HL,B2,,Я  стал  коллекцировать  пластинки  {{когда }} мне  был 18  лет.,когда,время,гп,мест,мест,и,д,1ед,мест мест,other
x_FBS_Воспоминания о детстве,fin,HL,B2,,{{Когда }} я  был  маленьким*@*  я  удивился  в  том*@*  как  Петербург  так  большой  город.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
x_FBS_Воспоминания о детстве,fin,HL,B2,,{{Когда }} я  была  маленькая*@*  я  всегда  сабирала  яблоки  и  занималась  садоводством  с  мамой.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
x_FBS_Моя подруга,fin,HL,B2,,Там  можно  посидеть  в  уютной  кафейне*@*  пить  латте  или  зелёный  чай  с  мятой.  {{когда }} мы  проводим  время  вместе*@*  мы  слушаем  русскую  музыку*@*  например  Земфиру  или  Стигмату.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
x_FBS___Финны и русские,fin,HL,B2,,{{Когда }} финны  думают  о  русских*@*  они  думают  о  войне*@*  политике*@*  Путине*@*  водке  и  о  других  плохих  делах.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
Интернет – друг или враг?,fin,HL,B2,,Конечно  это  может  оказаться  опасным*@*  но  {{когда }} я  об  этом  вспоминаю*@*  я  задаю  себе  вопрос: quot3,,,,,,,,
x_FBS_(Как жить одному),fin,HL,B2,,Я  могла  делать*@*  что  хотела  и  {{когда }} хотела.,когда,время,гп,мест,null,и,null,1ед,мест null,null
x_FBS_Петрозаводск,fin,HL,B2,,А  {{когда }} переехали  в  Финляндию*@*  где  Вы  здесь  жили? -,когда,время,пг,мест,null,и,null,2мн,мест null,null
x_FBS_Петрозаводск,fin,HL,B2,,Я  люблю  фотографировать  людей  и  специальные  моменты*@*  и  {{когда }} у  меня  это  получается*@*  я  их  печатаю  и  вешу  на  стену.,когда,время,пг,мест,мест,и,д,1ед,мест мест,other
